%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581017659382935327,3566,0,,0.1812,-0.0876,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659408100476,3567,0,,0.1823,-0.0921,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659433127192,3568,0,,0.1856,-0.0831,0.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659457694549,3569,0,,0.1845,-0.083,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659482901735,3570,0,,0.1812,-0.091,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659507621917,3571,0,,0.1801,-0.0921,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659532662264,3572,0,,0.1835,-0.0762,0.3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659557946411,3573,0,,0.1812,-0.091,0.3551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659582833543,3574,0,,0.1823,-0.0909,0.3701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659607715725,3575,0,,0.1801,-0.0909,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659632355347,3576,0,,0.1801,-0.0909,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659657188657,3577,0,,0.1812,-0.0898,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659682015248,3578,0,,0.1834,-0.0841,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659706794809,3579,0,,0.1823,-0.0886,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659732493768,3580,0,,0.1812,-0.0909,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659757187424,3581,0,,0.1823,-0.0898,0.3639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659782965569,3582,0,,0.1791,-0.0863,0.3698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659806873492,3583,0,,0.1813,-0.0807,0.3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659833100160,3584,0,,0.1823,-0.0865,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659858204181,3585,0,,0.1802,-0.0829,0.3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659883346510,3586,0,,0.1803,-0.0784,0.3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659907863493,3587,0,,0.1834,-0.0853,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659932990676,3588,0,,0.1813,-0.0864,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659958004104,3589,0,,0.1813,-0.0818,0.3649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017659983018079,3590,0,,0.1834,-0.0841,0.3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660007651917,3591,0,,0.1823,-0.091,0.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660032959308,3592,0,,0.1812,-0.0887,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660058153426,3593,0,,0.1824,-0.083,0.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660083500350,3594,0,,0.1813,-0.0819,0.3549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660107880122,3595,0,,0.1823,-0.0863,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660132972712,3596,0,,0.1823,-0.0899,0.3564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660158253379,3597,0,,0.1823,-0.0899,0.3576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660182911680,3598,0,,0.1824,-0.0842,0.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660208084539,3599,0,,0.1844,-0.0898,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660233051297,3600,0,,0.179,-0.0943,0.3613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660257770360,3601,0,,0.1812,-0.0897,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660283041768,3602,0,,0.1823,-0.0853,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660308228781,3603,0,,0.1812,-0.092,0.3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660334039374,3604,0,,0.1802,-0.084,0.3686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660357824956,3605,0,,0.1834,-0.0841,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660383142340,3606,0,,0.1833,-0.0944,0.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660408266783,3607,0,,0.1834,-0.0864,0.3676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660433133874,3608,0,,0.1824,-0.0842,0.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660457790252,3609,0,,0.1823,-0.0853,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660482717965,3610,0,,0.1834,-0.0864,0.3663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660507857125,3611,0,,0.1814,-0.0749,0.3672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660533048411,3612,0,,0.1834,-0.0887,0.3614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660558156272,3613,0,,0.1823,-0.0921,0.3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660583000661,3614,0,,0.1824,-0.083,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660608037844,3615,0,,0.1813,-0.0841,0.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660633316022,3616,0,,0.1823,-0.0899,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660658276470,3617,0,,0.1823,-0.0887,0.3638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660682983754,3618,0,,0.1825,-0.075,0.3598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581017660708061537,3619,0,,0.1835,-0.0819,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
